05 23 34.6 -69 45 22             
05 40 45.527 -01 56 33.26        
01 37 42.84548 -57 14 12.3101    
12 54 01.7495922 +55 57 35.362645
12 47 43.26877 -59 41 19.5792    
07 08 23.4840514 -26 23 35.518484
14 39 35.06311 -60 50 15.0992    
05 40 45.52666 -01 56 33.2649    
08 09 31.95013 -47 20 11.7108    
05 25 07.86325 +06 20 58.9318    
09 13 11.97746 -69 43 01.9473    
07 12 36.0 -27 40 00             
07 46 53.081 +39 00 52.52        
06 37 42.71050 +16 23 57.4095    
05 14 32.27210 -08 12 05.8981    
14 39 36.49400 -60 50 02.3737    
12 26 35.896 -63 05 56.73        
17 33 36.52012 -37 06 13.7648    
20 41 25.91514 +45 16 49.2197    
07 46 54.220 +39 00 21.25        
10 19 58.354462 +19 50 29.35920  
12 31 09.95961 -57 06 47.5684    
07 46 58.210 +39 00 51.24        
05 59 31.7229284 +44 56 50.757259
19 50 46.99855 +08 52 05.9563    
14 39 36.204 -60 50 08.23        
18 36 56.33635 +38 47 01.2802    
22 57 39.04625 -29 37 20.0533    
13 47 32.43776 +49 18 47.7602    
17 23 41.71 +30 29 50.6          
08 22 30.83526 -59 30 34.1431    
07 46 53.320 +39 00 18.25        
04 35 55.23907 +16 30 33.4885    
06 45 08.91728 -16 42 58.0171    
17 37 19.12985 -42 59 52.1808    
07 45 18.94987 +28 01 34.3160    
10 08 22.31099 +11 58 01.9516    
12 26 36.442 -63 05 58.28        
14 03 49.404440 -60 22 22.94186  
05 16 41.35871 +45 59 52.7693    
16 29 24.45970 -26 25 55.2094    
20 25 38.85705 -56 44 06.3230    
22 08 13.98473 -46 57 39.5078    
05 36 12.81335 -01 12 06.9089    
06 45 08.917 -16 42 58.02        
07 34 35.863 +31 53 17.79        
03 24 19.3700924 +49 51 40.245455
14 15 39.67207 +19 10 56.6730    
06 58 37.54876 -28 58 19.5102    
05 55 10.30536 +07 24 25.4304    
06 22 41.9853527 -17 57 21.307352
07 34 35.87319 +31 53 17.8160    
05 26 17.51312 +28 36 26.8262    
07 46 54.220 +39 01 18.25        
13 25 11.57937 -11 09 40.7501    
22 47 27.89448 +58 07 23.6820    
17 37 19.131 -42 59 52.17        
08 44 42.22658 -54 42 31.7493    
07 46 53.970 +39 01 06.25        
16 48 39.89508 -69 01 39.7626    
14 03 49.40535 -60 22 22.9266    
09 27 35.24270 -08 39 30.9583    
07 39 18.11950 +05 13 29.9552    
11 03 43.67152 +61 45 03.7249    
06 23 57.10988 -52 41 44.3810    
18 24 10.31840 -34 23 04.6193    
