108870,1,0,0.287309
104214,1,0,0.283274
19849,1,0,0.281086
54035,1,0,0.287174
15510,1,0,0.272661
104217,1,0,0.307915
114046,1,0,0.296112
96100,1,0,0.294242
105090,1,0,0.308159
73184,1,0,0.332606
49908,1,0,0.335085
61317,1,0,0.269823
1599,1,0,0.268259
84478,1,0,0.331173
1475,1,0,0.32297
99461,1,0,0.334955
114622,1,0,0.344392
64394,1,0,0.270016
105858,1,0,0.267811
3765,1,0,0.348172
64924,1,0,0.31245
12114,1,0,0.350594
7751,1,0,0.353935
16537,1,0,0.248323
15457,1,0,0.322745
57443,1,0,0.327535
7981,1,0,0.350556
113283,1,0,0.360968
84720,1,0,0.375995
63721,1,0,0.307463
99825,1,0,0.376448
56452,1,0,0.366809
91772,1,0,0.352881
29271,1,0,0.353868
86162,1,0,0.337981
10644,1,0,0.323017
56997,1,0,0.383947
70890,1,0,0.379192
8102,1,0,0.238586
88601,1,0,0.309483
23311,1,0,0.38509
81300,1,0,0.396736
8362,1,0,0.395069
23693,1,0,0.308712
32984,1,0,0.377723
14632,1,0,0.261069
72659,1,0,0.404621
80686,1,0,0.333923
13402,1,0,0.398152
12777,1,0,0.265108
27072,1,0,0.241134
3821,1,0,0.235953
85523,1,0,0.375158
68184,1,0,0.395846
57939,1,0,0.361294
99240,1,0,0.241339
77257,1,0,0.289611
15330,1,0,0.41951
36208,1,0,0.395047
3093,1,0,0.423569
72848,1,0,0.412738
45343,1,0,0.385149
88972,1,0,0.405776
51459,1,0,0.328894
24813,1,0,0.316676
47080,1,0,0.4362
64797,1,0,0.396933
15371,1,0,0.445264
42808,1,0,0.38504
41926,1,0,0.389346
78072,1,0,0.251129
86400,1,0,0.41743
40693,1,0,0.430989
80337,1,0,0.455107
10798,1,0,0.40478
26779,1,0,0.432715
25878,1,0,0.397967
120005,1,0,0.402678
94761,1,0,0.360449
22263,1,0,0.450719
43587,1,0,0.45974
117473,1,0,0.355723
58345,1,0,0.411353
85235,1,0,0.415489
58576,1,0,0.4824
69972,1,0,0.418291
82860,1,0,0.330239
10138,1,0,0.445339
109176,1,0,0.246461
47592,1,0,0.347382
12843,1,0,0.28986
544,1,0,0.454649
5862,1,0,0.354734
29295,1,0,0.39596
79672,1,0,0.489218
24186,1,0,0.345354
105858,2,1.01724,0.261734
1599,2,0.935237,0.260386
76074,1,0,0.388955
64394,2,1.00688,0.265323
42438,1,0,0.497364
84862,1,0,0.494575
61317,2,0.911963,0.26078
57757,1,0,0.242968
16852,1,0,0.276378
80824,1,0,0.443085
7513,1,0,0.26447
99701,1,0,0.38925
116771,1,0,0.267416
75181,1,0,0.521747
27072,2,1.23515,0.23919
53721,1,0,0.445572
3583,1,0,0.500943
85295,1,0,0.430794
25278,1,0,0.437287
